"id"	"screenName"	"text"	"retweetCount"
"1621894243387150338"	"OL_Plus_Fem"	"#Rodez - #OL (0-5) : #Majri buteuse, #Carpenter de retour et les Fenottes ont le sourire
@CarpenterEllie… https://t.co/PREStyhbM6"	0
"1621893505726439425"	"OL_Plus_Fem"	"L'#OL punit #Rodez
#RAFOL 
(L'Équipe : https://t.co/alXEDR2mSF) https://t.co/lHhQlquhVj"	0
"1621892256797007872"	"OL_Plus_Fem"	"L’#OL surclasse #Rodez et Amel #Majri inscrit le 8000e but de l’histoire du club
@AmelMajri7 #RAFOL 
(Le Progrès :… https://t.co/4hkUv9Gk3N"	0
"1621891218895503360"	"JrMaestro19"	"RT @Goneback_: 🚨EMISSION PLATEAU THE BILAN🚨

La #TeamOL, ce soir 21h - 𝗚𝗥𝗢𝗦𝗦𝗘 𝗘𝗠𝗜𝗦𝗦𝗜𝗢𝗡 autour de la 1ère Partie de saison de l'#OL avec un…"	4
"1621885835757998080"	"Milanero3"	"El arouch avec le groupe pro ? Absence de tolisso ? #OlympiqueLyonnais #OL #ESTACOL https://t.co/AAruOVQNZE"	0
"1621883684629643266"	"geeko_media"	"GEEKO MEDIA L2 : le #classement provisoire – #Football https://t.co/CxjlNr7dCZ #asmonaco #bundesligua #calcio… https://t.co/FR0aYmVSmc"	0
"1621880262224142341"	"Sraphtetepo"	"Je crois que je suis irrattrapable 🤦 , je vois bien qu'on se fout de nous en face hier, et pourtant j'ai trop hâte… https://t.co/Pqdx39duNn"	0
"1621880036922884097"	"anthobisceglie"	"@Footballogue Ben il fallait pas vendre le club alors, parce que savoir c'est une chose, mais si on a les mains lié… https://t.co/W28YZVPSg0"	0
"1621876161058848770"	"BenjaminDucrot2"	"RT @Goneback_: 🚨EMISSION PLATEAU THE BILAN🚨

La #TeamOL, ce soir 21h - 𝗚𝗥𝗢𝗦𝗦𝗘 𝗘𝗠𝗜𝗦𝗦𝗜𝗢𝗡 autour de la 1ère Partie de saison de l'#OL avec un…"	4
"1621871988842045440"	"johnnyp950"	"RT @Goneback_: Qu'est ce qui peut bien se tramer ce soir à 21h chez #GoneBack 🤔 

On se donne RDV ce soir après le match ? 🔴🔵🦁

#TeamOL #OL…"	6
"1621871796168318977"	"EstacJulezz"	"Nos Troyens reçoivent les Gones pour une nouvelle journée de @ligue1ubereats !
—————————————————————
#art #estac… https://t.co/twBJJl5NyZ"	0
"1621868393644048386"	"PSGRelay"	"RT @QuotidienSport: ⚽️ #Ligue1 

❎ PSG enchaine, l’OL en danger, ❎ Rennes et l’OM en patron

➡️ Les pronostics de la 22ème journée 

#PSG #…"	1
"1621867905649451008"	"JordanPedreiro"	"RT @OL__Plus: Derby attendu pour la réserve de l'#OL contre La Duchère 
#Nat2 #Académie 
(O&amp;L : https://t.co/nRSOkuCA6M) https://t.co/uecwE…"	2
"1621867497745006600"	"QuotidienSport"	"⚽️ #Ligue1 

❎ PSG enchaine, l’OL en danger, ❎ Rennes et l’OM en patron

➡️ Les pronostics de la 22ème journée… https://t.co/EpxRhCBVsG"	1
"1621866514956574720"	"ActuuFootFrance"	"Le nouveau joueur de l'OL Jeffinho 🇧🇷 devrait être absent pour une durée de 3semaines ! 

Il une blessure à la chev… https://t.co/W4WirEI9zS"	0
"1621866174928519171"	"planete_2foot_"	"La nouvelle recrue de l'OL Jeffinho, va manquer 3 semaines de compétition après avoir contracté une blessure à la c… https://t.co/ZYB6pEIb2k"	0
"1621863015447515136"	"Hugo_Cookster"	"RT @Goneback_: 🚨EMISSION PLATEAU THE BILAN🚨

La #TeamOL, ce soir 21h - 𝗚𝗥𝗢𝗦𝗦𝗘 𝗘𝗠𝗜𝗦𝗦𝗜𝗢𝗡 autour de la 1ère Partie de saison de l'#OL avec un…"	4
"1621862055044063233"	"Breizhgone56"	"RT @Goneback_: 🚨EMISSION PLATEAU THE BILAN🚨

La #TeamOL, ce soir 21h - 𝗚𝗥𝗢𝗦𝗦𝗘 𝗘𝗠𝗜𝗦𝗦𝗜𝗢𝗡 autour de la 1ère Partie de saison de l'#OL avec un…"	4
"1621861279081136128"	"Goneback_"	"🚨EMISSION PLATEAU THE BILAN🚨

La #TeamOL, ce soir 21h - 𝗚𝗥𝗢𝗦𝗦𝗘 𝗘𝗠𝗜𝗦𝗦𝗜𝗢𝗡 autour de la 1ère Partie de saison de l'#OL… https://t.co/EUwSX29XDg"	4
"1621859387068321793"	"OL__Plus"	"Derby attendu pour la réserve de l'#OL contre La Duchère 
#Nat2 #Académie 
(O&amp;L : https://t.co/nRSOkuCA6M) https://t.co/uecwEJJK9h"	2
"1621858824901562370"	"ShangoFoot"	"SPORT 🔵  #OL : Jeffinho out pour trois semaines et pas prêt avant fin février 👉 https://t.co/oZa3qlLhaS https://t.co/xBP5DJ219S"	0
"1621855746928287746"	"CostaMik"	"RT @CostaMik: On vise le 0 - 0 les gars 😐😉
#OL #ESTACOL"	1
"1621853917318463490"	"louRavi4"	"RT @bertinho06: Programme foot de la journée :

▶️ Cercle Bruges - Standard de Liège (peut-être)
▶️ Volendam - AZ Alkmaar
▶️ Utrecht - Heer…"	1
"1621850544804339712"	"PierreBoccon"	"RT @Obs_Sport_Biz: A l'aube de la 22ème journée, le classement sportif de #Ligue1UberEats correspond-il au classement budgétaire ?

Tandis…"	6
"1621849624238497794"	"dadou6363"	"RT @oetl: 18 joueurs à la veille de Troyes. Jeffinho soigne toujours une blessure à la cheville #OL #OLESTAC https://t.co/MSUotXGB9Q"	11
"1621844988886646792"	"ShangoFoot"	"HOMME DU MATCH 🔵  #OL : Ce joueur va avoir davantage d’opportunités avec Laurent Blanc  👉 https://t.co/1nYvbXgaSG https://t.co/mrPpGQMVke"	0
"1621840028975435776"	"bertinho06"	"Programme foot de la journée :

▶️ Cercle Bruges - Standard de Liège (peut-être)
▶️ Volendam - AZ Alkmaar
▶️ Utrech… https://t.co/UqeiPe0DjT"	1
"1621838942373822464"	"axlvtr69"	"RT @oetl: La réserve de l'#OL affronte #LaDuchère à 16h à Décines."	2
"1621838933406400512"	"axlvtr69"	"RT @OL__Plus: #OL - L. #Blanc : \"Il faut refaire le même match que face à Brest\"
(O&amp;L : https://t.co/22ucSfA8rg) https://t.co/wllUVwvBZY"	2
"1621837948856532993"	"axlvtr69"	"RT @Goneback_: Qu'est ce qui peut bien se tramer ce soir à 21h chez #GoneBack 🤔 

On se donne RDV ce soir après le match ? 🔴🔵🦁

#TeamOL #OL…"	6
"1621837638717083648"	"Monsieur_Mehdi"	"RT @coparenamedia: 🦁 Dans le dernier #Shortlist, @MyckiMFootball est longuement revenu sur le mercato de l'#OL. Et c'était pas anodin comme…"	3
"1621836760937275392"	"MPGLaurent"	"Le groupe de Troyes #ESTAC pour recevoir Lyon #OL.  En plus de Rami, Tardieu et Palaversa, pas de Conte. Tibidi et… https://t.co/ZKDQfjC2jD"	0
"1621835914258284547"	"Aly_Cascarino"	"RT @Aly_Cascarino: Pensez-vous qu’Aulas devient dépassé avec le temps qui file et les générations qui changent ? Doit-il laisser sa place p…"	1
"1621835753478053890"	"FernandLamure3"	"RT @OL__Plus: Après les incidents à Ajaccio - #OL - Tête de lard, chambreur ou vrai gentil, qui est vraiment #Vercoutre ?
@remyvercoutre #A…"	3
"1621835629226086400"	"TWITT_ASS"	"#OL 

Mais sérieux c'est quel genre de mercato ça ? @OL 

On s'est donc débarrassé de 3 joueurs qui pouvaient jouer… https://t.co/5oLyrPMMVs"	0
"1621834902072074240"	"TadlosOL"	"RT @oetl: La réserve de l'#OL affronte #LaDuchère à 16h à Décines."	2
"1621834769146302464"	"oetl"	"La réserve de l'#OL affronte #LaDuchère à 16h à Décines."	2
"1621834501348286464"	"UAnh75"	"RT @Obs_Sport_Biz: A l'aube de la 22ème journée, le classement sportif de #Ligue1UberEats correspond-il au classement budgétaire ?

Tandis…"	6
"1621833565485809665"	"clemencelgls"	"RT @belqaid_nadir: L’@ol se déplace à @estac_officiel demain à 19h, l’essentiel du groupe est bel et bien présent sauf Jeffinho (blessure à…"	0
"1621833078430748674"	"JordanPedreiro"	"RT @OL__Plus: Tensions à la tête de l'#OL ? «De la science-fiction», répond #Aulas
@JM_Aulas 
(Le Figaro : https://t.co/cvK7jfzhzz) https:/…"	1
"1621831693932822530"	"olfans4"	"En déplacement à Troyes, l'OL espère renouer avec la victoire - Olympique et Lyonnais https://t.co/R9Od4WyONf #OL #TeamOL #Gones"	0
"1621831689772191746"	"olfans4"	"Ligue 1: 22 supporters de l'OL interpellés pour des débordements après le match contre Strasbourg - BFM Lyon… https://t.co/PEFd88TjZF"	0
"1621831687091912704"	"olfans4"	"OL. Des tensions à la direction ? « C'est de la science-fiction ... - Ouest-France https://t.co/F6PkgxpnM9 #OL #TeamOL #Gones"	0
"1621831685355470850"	"olfans4"	"OL : à peine arrivé, Jeffinho déjà absent trois semaines ? - Le Figaro https://t.co/0zIPd7yQoK #OL #TeamOL #Gones"	0
"1621831683732389890"	"olfans4"	"Troyes sans Reine-Adélaïde contre l'OL - Olympique et Lyonnais https://t.co/qRsCdUwlFo #OL #TeamOL #Gones"	0
"1621830328594595840"	"Martin126911"	"RT @SoldatR_Design: ✍️| ESTAC VS OL | Rayan Cherki

🔄 &amp; ❤️ Pour soutenir 

#OL #TeamOL #Gones #Lyon  #Ligue1 #Cherki #ESTACOL https://t.co/…"	2
"1621829722727391234"	"__Illuminatus_"	"RT @Obs_Sport_Biz: A l'aube de la 22ème journée, le classement sportif de #Ligue1UberEats correspond-il au classement budgétaire ?

Tandis…"	6
"1621828908374003713"	"coparenamedia"	"RT @coparenamedia: 🦁 Dans le dernier #Shortlist, @MyckiMFootball est longuement revenu sur le mercato de l'#OL. Et c'était pas anodin comme…"	3
"1621825515081420801"	"Maya_Gab47"	"RT @Obs_Sport_Biz: A l'aube de la 22ème journée, le classement sportif de #Ligue1UberEats correspond-il au classement budgétaire ?

Tandis…"	6
"1621825156128690177"	"Anthonyjsnr"	"RT @Obs_Sport_Biz: A l'aube de la 22ème journée, le classement sportif de #Ligue1UberEats correspond-il au classement budgétaire ?

Tandis…"	6
"1621824744499593217"	"StrifeLoic"	"RT @Obs_Sport_Biz: A l'aube de la 22ème journée, le classement sportif de #Ligue1UberEats correspond-il au classement budgétaire ?

Tandis…"	6
"1621824235445407745"	"Obs_Sport_Biz"	"A l'aube de la 22ème journée, le classement sportif de #Ligue1UberEats correspond-il au classement budgétaire ?

Ta… https://t.co/a084jEUOnA"	6
"1621819529826377728"	"Nedishkhan"	"RT @OL_Plus_Fem: #Rodez - #OL : duel des extrêmes pour les Fenottes
#RAFOL 
(O&amp;L : https://t.co/jBzrd3rIKd) https://t.co/6vhnSG4noc"	2
"1621819170085130241"	"LRemoisDansLSud"	"Pronostic Ligue 1 / 22ème journée⚽️ :

❌ #PSG 0-1 #TFC ✅
❌ #ESTAC 1-2 #OL ✅
❌ #SRFC 2-3 #LOSC ✅
❌ #CF63 1-2 #ASM ✅… https://t.co/fqtFJiJFA2"	0
"1621818602658713602"	"mourauxalain"	"Don t touch our président. Total support to mister Thierry Dailly #rwdm #bb85 #BB85 #molenbeek #botafogo #CPFC… https://t.co/c2gp9WJun8"	0
"1621818207437733889"	"lalut3"	"RT @Goneback_: Qu'est ce qui peut bien se tramer ce soir à 21h chez #GoneBack 🤔 

On se donne RDV ce soir après le match ? 🔴🔵🦁

#TeamOL #OL…"	6
"1621817198044930050"	"CostaMik"	"On vise le 0 - 0 les gars 😐😉
#OL #ESTACOL https://t.co/VvOREAQTeg"	1
"1621816564013047814"	"olfans4"	"Jeffinho (OL) absent trois semaines ? - L'Équipe https://t.co/fhPexcbnUN #OL #TeamOL #Gones"	0
"1621816562041720833"	"olfans4"	"OL : une première longue absence pour Jeffinho ! - Foot Mercato https://t.co/DY2vg32Y51 #OL #TeamOL #Gones"	0
"1621816559004950529"	"olfans4"	"TV : Troyes - OL, sur quelle chaîne et à quelle heure ? - Foot01 https://t.co/XXOaCUg04J #OL #TeamOL #Gones"	0
"1621816556484165632"	"olfans4"	"Mercato OL : La promesse d'une pépite brésilienne aux supporters - Foot Sur 7 https://t.co/Rxb8FHo5VL #OL #TeamOL #Gones"	0
"1621816553686573056"	"olfans4"	"Lovren, Jeffinho, Sarr : 3 recrues pour apporter du sang neuf à l'OL - Olympique et Lyonnais https://t.co/6EIy9Hnnds #OL #TeamOL #Gones"	0
"1621816551694372866"	"olfans4"	"Violences lors d'OL-Strasbourg : deux supporters condamnés à Lyon - Lyon Mag https://t.co/BaKPn2Y7mp #OL #TeamOL #Gones"	0
"1621816549693702144"	"olfans4"	"OL : six supporters renvoyés devant la justice pour des violences - Foot National https://t.co/X6BTcKhLew #OL #TeamOL #Gones"	0
"1621816547055468544"	"olfans4"	"Après le match contre Strasbourg, 20 supporters de l'OL ont été arrêtés - Olympique et Lyonnais https://t.co/ex1Nu5akoG #OL #TeamOL #Gones"	0
"1621816544148787201"	"olfans4"	"OL : Jeffinho absent 3 semaines, ça commence fort - Foot01 https://t.co/hcInz4PXAx #OL #TeamOL #Gones"	0
"1621816541330251777"	"olfans4"	"L'OL cale encore à domicile contre Brest - L'Équipe https://t.co/PPqfSeERkS #OL #TeamOL #Gones"	0
"1621816538847223810"	"olfans4"	"OL-Brest : Entre défiance à l'égard d'Aulas et inefficacité offensive ... - 20 Minutes https://t.co/dQss3JDQ8t #OL #TeamOL #Gones"	0
"1621816536045436929"	"olfans4"	"OL - Quelle durée d'absence pour Jeffinho ? - https://t.co/SXHSGrnk5a https://t.co/sIYo6gczYX #OL #TeamOL #Gones"	0
"1621816532178243584"	"olfans4"	"Rodez - OL : duel des extrêmes pour les Fenottes - Olympique et Lyonnais https://t.co/K4vlG4OtWG #OL #TeamOL #Gones"	0
"1621816529300979712"	"olfans4"	"OL : Ponsot s'exprime sur la gestion de El Arouch - Olympique et Lyonnais https://t.co/ThXOCMC598 #OL #TeamOL #Gones"	0
"1621816526763343879"	"olfans4"	"Le programme officiel du match Estac-OL - L'Est Eclair https://t.co/8okZLVzGrC #OL #TeamOL #Gones"	0
"1621816524485836800"	"olfans4"	"Ligue 1 : ESTAC - OL : Jeff Reine-Adélaïde privé de retrouvailles ... - Made In Foot https://t.co/RSjWqHM7Y0 #OL #TeamOL #Gones"	0
"1621813527139831808"	"ShangoFoot"	"FOOT MERCATO 🔵  #OL : une première longue absence pour Jeffinho ! 👉 https://t.co/sU7ZgLdQVl https://t.co/1waagSCOJ1"	0
"1621813334700920833"	"Sabrina63967774"	"RT @SoldatR_Design: ✍️| ESTAC VS OL | Rayan Cherki

🔄 &amp; ❤️ Pour soutenir 

#OL #TeamOL #Gones #Lyon  #Ligue1 #Cherki #ESTACOL https://t.co/…"	2
"1621812894760419329"	"madeinfoot"	"[#Mercato 💰]

La recrue brésilienne souffre d'une blessure à la cheville #OL 🔴🔵

https://t.co/YC1C7YNLrM"	1
"1621806327138754560"	"R_ch88"	"A #OL c'est lunaire j'ai l'impression que c'est un projet mad in Eyraud avec des investisseurs pire que GACP a Bord… https://t.co/TAyuHstTFv"	0
"1621805218202636288"	"IliesHamou"	"Le papy Zinzin a peur pour sa place et lustre les bouloches de son Boss comme il faut.
Mais du coup j’ai du mal à c… https://t.co/KjbGWGkM8R"	0
